key,en,he,context,notes
torah.glyphname.trope_geresh,Geresh group,,trope-family legend + picker label,glyph-name; scope-ambiguous
torah.glyphname.trope_katon,Zakef Katon clause,,trope-family legend + picker label,glyph-name; scope-ambiguous
torah.glyphname.trope_rare,Rare marks,,trope-family legend + picker label,glyph-name; scope-ambiguous
torah.glyphname.trope_revia,Revia group,,trope-family legend + picker label,glyph-name; scope-ambiguous
torah.glyphname.trope_segol,Segol clause,,trope-family legend + picker label,glyph-name; scope-ambiguous
torah.glyphname.trope_sofpasuk,Sof Pasuk clause,,trope-family legend + picker label,glyph-name; scope-ambiguous
torah.glyphname.vowel_chirik,Chirik,,vowel color-picker label,glyph-name
torah.glyphname.vowel_hkamatz,H. Kamatz,,vowel color-picker label,glyph-name
torah.glyphname.vowel_holam,Holam,,vowel color-picker label,glyph-name
torah.glyphname.vowel_hpatach,H. Patach,,vowel color-picker label,glyph-name
torah.glyphname.vowel_hsegol,H. Segol,,vowel color-picker label,glyph-name
torah.glyphname.vowel_kamatz,Kamatz,,vowel color-picker label,glyph-name
torah.glyphname.vowel_kubutz,Kubutz,,vowel color-picker label,glyph-name
torah.glyphname.vowel_patach,Patach,,vowel color-picker label,glyph-name
torah.glyphname.vowel_segol,Segol,,vowel color-picker label,glyph-name
torah.glyphname.vowel_shuruk,Shuruk,,vowel color-picker label,glyph-name
torah.glyphname.vowel_shva,Shva,,vowel color-picker label,glyph-name
torah.glyphname.vowel_tzere,Tzere,,vowel color-picker label,glyph-name
torah.glyphname.vowel_vav_holam,Vav Holam,,vowel color-picker label,glyph-name
torah.header.home,Home,,header nav button,
torah.header.settings_title,Settings,,header gear button title,
torah.header.subtitle,"Read the weekly parsha with vowel coloring, transliteration, translations, and chanted-audio karaoke.",,header subtitle,
torah.header.title,Torah Trainer,,h1 header,
torah.header.tour_button,❓ Tour,,header button,leading-emoji
torah.header.tour_title,Take a quick tour,,header button title,
torah.jumpnav.aria,Jump to aliyah,,in-page nav aria-label,aria-label only
torah.reading.chant_all,🎵 Chant all,,ref-header button,leading-emoji
torah.reading.chant_all_stop,⏹ Stop chant,,ref-header button,leading-emoji
torah.reading.empty_body,"Choose a parsha from the dropdown above — the reading appears here with optional transliteration, translation, color-coded vowels, and chanted audio.",,empty state,
torah.reading.empty_title,Pick a parsha to start,,empty state h2,print-adjacent empty state
torah.reading.jump_chip_aria,Jump to aliyah {n} ({label}),,aliyah jump chip aria,aria-label only; mixed UI+content — do not translate {n}/{label}
torah.reading.read_all,🔊 Read all,,ref-header button,leading-emoji
torah.reading.resume,Resume at {verse} →,,resume chip,mixed UI+content — do not translate {verse}
torah.reading.resume_dismiss_aria,Dismiss resume,,resume chip dismiss aria,aria-label only
torah.reading.stop,⏹ Stop,,ref-header button (reading),leading-emoji
torah.reading.verse_chant,🎵 Chant,,per-verse button,leading-emoji
torah.reading.verse_chant_aria,Chant verse {verseRef} (PocketTorah audio),,per-verse button aria,aria-label only; mixed UI+content — do not translate {verseRef}
torah.reading.verse_loop,🔁 Loop,,per-verse button,leading-emoji
torah.reading.verse_loop_aria,Loop verse {verseRef} (repeat the chant),,per-verse button aria,aria-label only; mixed UI+content — do not translate {verseRef}
torah.reading.verse_loop_stop_aria,Stop looping verse {verseRef},,per-verse button aria (looping),aria-label only; mixed UI+content — do not translate {verseRef}
torah.reading.verse_read,🔊 Read,,per-verse button,leading-emoji
torah.reading.verse_read_aria,Read verse {verseRef} aloud (TTS),,per-verse button aria,aria-label only; mixed UI+content — do not translate {verseRef}
torah.schedule.diaspora,Diaspora,,radio label,
torah.schedule.israel,Israel,,radio label,
torah.schedule.jump_this_week,Jump to this week's parsha,,button,
torah.schedule.schedule_label,Schedule,,settings label,
torah.schedule.schedule_tip,Diaspora and Israel reading schedules diverge for several weeks per cycle (when a Yom Tov falls on Shabbat). Affects which parsha is selected as 'this week'.,,tooltip,
torah.schedule.scope_aliyah,Aliyah {n},,scope option,do-not-translate {n}
torah.schedule.scope_disabled_title,"Reading scope applies to weekly parshiyot, not holiday readings.",,scope select title (disabled),
torah.schedule.scope_full,Full parsha,,scope option,
torah.schedule.scope_full_reading,Full reading,,scope option (holiday/custom),
torah.schedule.scope_haftarah,Haftarah,,scope option,
torah.settings.close_aria,Close settings,,close button aria,aria-label only
torah.settings.close_title,Close,,close button title,
torah.settings.collapse_all,Collapse all menus,,button,
torah.settings.expand_all,Expand all menus,,button,
torah.settings.panel_about,About & FAQ,,panel title,
torah.settings.panel_audio,Audio speeds,,panel title,
torah.settings.panel_display,Display,,panel title,
torah.settings.panel_font,Hebrew font,,panel title,
torah.settings.panel_reset,Reset,,panel title,
torah.settings.panel_schedule,Reading schedule,,panel title,
torah.settings.panel_translit,Transliteration scheme,,panel title,
torah.settings.panel_trope_color,Trope color coding,,panel title,
torah.settings.panel_vowel_color,Vowel color coding,,panel title,
torah.settings.reset_all,↺ Reset all Torah Trainer settings,,button,leading-emoji
torah.settings.title,⚙️ Torah Trainer Settings,,settings drawer header,leading-emoji
torah.status.aliyah_audio_unavailable,Audio for aliyah {n} is not available in PocketTorah.,,karaoke status,do-not-translate {n}
torah.status.audio_basename_missing,Audio basename missing in manifest.,,karaoke status,
torah.status.cant_determine_parsha,Could not determine the current parsha (Sefaria API unreachable).,,status,
torah.status.chant_unavailable,Chanting isn't available for this reading.,,status,
torah.status.data_load_failed,"Failed to load static data files (data/parshiyot.json, data/pockettorah/*.json). The page may not work correctly.",,status,
torah.status.failed_load,Failed to load {label}: {error}.,,status,do-not-translate {label}/{error}
torah.status.failed_timings,Failed to load timings: {error}.,,karaoke status,do-not-translate {error}
torah.status.fallback_version,"""{version}"" isn't available here — showing ""{other}"" instead.",,status,do-not-translate {version}/{other}
torah.status.hint_action_chant,chant from that spot,,hint toast fragment,
torah.status.hint_action_read,read it aloud,,hint toast fragment,
torah.status.hint_click_word,💡 Tip: click any Hebrew word to {action},,one-time hint toast,leading-emoji; do-not-translate {action} (built from fragments below)
torah.status.loaded_drift,Loaded — note: text has {words} words but audio has {timings} word timings; alignment may drift.,,karaoke status,do-not-translate {words}/{timings}
torah.status.loaded_timings,Loaded {count} word timings. Click any Hebrew word to jump to that part.,,karaoke status,do-not-translate {count}
torah.status.loading_aliyah_verse,Loading aliyah {n} to {action} verse {verseRef}…,,status,do-not-translate {n}/{verseRef}; {action} = loop|chant
torah.status.loading_audio_chant,Loading audio to chant {verseRef}…,,status,do-not-translate {verseRef}
torah.status.loading_audio_for,"Loading audio for {parsha}, {aliyah}…",,karaoke status,do-not-translate {parsha}; {aliyah} = Haftarah|Aliyah {n}
torah.status.loading_label,Loading {label}…,,status,do-not-translate {label}
torah.status.loop_verse,Looping verse {verseRef}. Click Loop again (or Stop in the audio bar) to end.,,karaoke status,do-not-translate {verseRef}
torah.status.net_hint,Sefaria API may be unreachable.,,status fragment (appended),
torah.status.no_aliyah_data,No aliyah data for this parsha.,,status,
torah.status.no_chantable_audio,No chantable audio for this reading.,,status,
torah.status.no_manifest,No PocketTorah manifest entry for this parsha.,,karaoke status,
torah.status.pick_parsha,Pick a parsha to start.,,status,
torah.status.pick_parsha_chant,Pick a parsha first to chant.,,status,
torah.status.pick_parsha_chant_verses,Pick a parsha first to chant verses.,,status,
torah.status.sefaria_no_ref,"Sefaria says this week is ""{name}"" but didn't return a Torah reference for it.",,status,do-not-translate {name}
torah.status.tts_unsupported_browser,Speech synthesis not supported in this browser.,,status,
torah.status.verse_not_found,Couldn't find verse {verseRef} in the rendered text.,,status,do-not-translate {verseRef}
torah.status.verse_outside_cant_chant,Verse {verseRef} is outside this parsha's aliyot — can't chant it here.,,status,do-not-translate {verseRef}
torah.status.verse_outside_pick_haftarah,Verse {verseRef} is outside this parsha's aliyot — pick Haftarah from Reading if you want to chant it.,,status,do-not-translate {verseRef}
torah.status.version_no_cover,"""{version}"" doesn't cover this passage.",,status,do-not-translate {version}
torah.status.version_not_returned,"""{version}"" wasn't returned by Sefaria for this passage — pick a different version.",,status,do-not-translate {version}
torah.tip.more_info,More information,,tooltip fallback aria,aria-label only
torah.tour.s1_body,Pick any parsha — it starts on this week's automatically.,,tour step body,
torah.tour.s1_title,Pick a parsha,,tour step title,
torah.tour.s2_body,"Read the whole parsha, one aliyah, or the haftarah. 🎵 means chanted audio is available.",,tour step body,
torah.tour.s2_title,Reading scope,,tour step title,
torah.tour.s3_body,"Show transliteration and translation, side-by-side or line-by-line.",,tour step body,
torah.tour.s3_title,Layout & toggles,,tour step title,
torah.tour.s4_body,"Every verse can be read aloud, chanted with word-by-word highlighting, or looped for practice.",,tour step body,
torah.tour.s4_title,"Read, chant, or loop",,tour step title,
torah.tour.s5_body,Click any Hebrew word to chant from exactly that spot.,,tour step body,
torah.tour.s5_title,The text itself,,tour step title,
torah.tour.s6_body,"Fonts, vowel colors, transliteration styles, and speeds live here.",,tour step body,
torah.tour.s6_title,Settings,,tour step title,
torah.trans.footer_line,Translation: {version} · {license} (via Sefaria),,footer translation line,html; do-not-translate {version}
torah.trans.footer_none,Translation: (none selected — toggle Translation off or pick a version),,footer translation line,
torah.trans.lib_failed,Transliteration library failed to load (offline?).,,translit status,
torah.trans.lib_loaded,Library loaded.,,translit status,
torah.trans.license_cc0,CC0,,license label,
torah.trans.license_ccby,CC BY,,license label,
torah.trans.license_ccbync,CC BY-NC,,license label,
torah.trans.license_ccbyncsa,CC BY-NC-SA,,license label,
torah.trans.license_ccbysa,CC BY-SA,,license label,
torah.trans.license_public_domain,Public Domain,,license label,
torah.trans.license_unknown,unknown license,,license fallback,
torah.trans.no_versions,(no openly licensed English versions available for this book),,version select option,
torah.trans.style_ashkenazi,Ashkenazi,,select option,
torah.trans.style_brill,Brill Academic,,select option,
torah.trans.style_label,Style,,settings label,
torah.trans.style_modern,Modern Israeli [DEFAULT],,select option,
torah.trans.style_sbl,SBL Academic,,select option,
torah.trans.style_simple,Simple stressed,,select option,
torah.trans.version_opt,{title} — {license},,version select option,do-not-translate {title}
torah.trope_legend.tutor_link,Learn the trope names →,,trope legend link,
trope.about.body,Trope Tutor teaches the Torah cantillation marks with real chanted examples mined from PocketTorah recordings (CC BY-SA 4.0) and Sefaria's Hebrew text. New here? Press ❓ Tour in the header. Companion reader: Torah Trainer.,,about panel prose,html
trope.about.reset_all,↺ Reset all Trope Tutor settings,,button,leading-emoji
trope.confirm.reset_all,Reset all Trope Tutor settings to defaults?,,confirm dialog,
trope.confirm.reset_progress,Reset your per-trope mastery and personal-best streak? This cannot be undone.,,confirm dialog,
trope.drill.back_to_learn,Back to Learn,,button,
trope.drill.choices_aria,Answer choices,,choices group aria,aria-label only
trope.drill.choose_again,choose again to answer,,melody choice subtext,
trope.drill.correct,✓ Correct — {name},,answer feedback,leading-emoji; do-not-translate {name}
trope.drill.drill_again,Drill again,,button,
trope.drill.finish,Finish →,,button (last question),
trope.drill.heading,Drill: 10 questions per session,,drill start heading,
trope.drill.incorrect,✗ It was {name},,answer feedback,leading-emoji; do-not-translate {name}
trope.drill.index_not_loaded,"Drill needs the example index, which didn’t load. Check your connection and refresh.",,drill start note,
trope.drill.mastered_vh,mastered,,mastery cell (visually hidden),
trope.drill.mastery_aria,Mastery by trope,,mastery grid aria,aria-label only
trope.drill.mastery_cell_title,{name} — {r} right / {w} wrong,,mastery cell title,do-not-translate {name}/{r}/{w}
trope.drill.mastery_cell_title_suffix, — mastered,,mastery cell title suffix (appended when mastered),
trope.drill.melody_choice_num,▶ {n},,melody choice button,leading-emoji; do-not-translate {n}
trope.drill.melody_hint,Choose a number to hear its melody; choose it again to answer.,,hint,
trope.drill.min_one_type,At least one question type must stay on.,,inline validation note,
trope.drill.next,Next →,,button,
trope.drill.not_enough,Not enough tropes with examples to build a drill.,,drill start note,
trope.drill.opt_hear,Hear: play a clip → pick the symbol,,drill settings label,
trope.drill.opt_identify,Identify: see a word → name the trope,,drill settings label,
trope.drill.opt_melody,Melody: see a symbol → pick its melody,,drill settings label,
trope.drill.play_melody,▶ Play the melody,,button,leading-emoji
trope.drill.playback_speed,Playback speed,,slider label,
trope.drill.q_hear,Listen — which mark carries this melody?,,question prompt,
trope.drill.q_identify,Which trope is marked on this word?,,question prompt,
trope.drill.q_melody,Which melody matches this mark?,,question prompt,
trope.drill.q_progress,Question {n} of {total},,drill progress,do-not-translate {n}/{total}
trope.drill.replay,↻ Replay,,button,leading-emoji
trope.drill.reset_speed_aria,Reset playback speed,,reset button aria,aria-label only
trope.drill.reset_speed_title,Reset speed,,reset button title,
trope.drill.results_heading,Session complete,,results heading,
trope.drill.results_pb,🏆 New personal best!,,results banner,leading-emoji
trope.drill.results_sub,{correct} / {total} correct · best streak this session: {best} 🔥 · personal best: {pb} 🔥,,results subtitle,do-not-translate {correct}/{total}/{best}/{pb}
trope.drill.start_button,Start drill,,button,
trope.drill.streak_aria,"Streak {n}, personal best {best}",,drill streak aria,aria-label only; do-not-translate {n}/{best}
trope.drill.streak_line,🔥 {n}  ·  🏆 {best},,drill streak display,leading-emoji; do-not-translate {n}/{best}
trope.drill.type_hear,Hear,,drill-type name,
trope.drill.type_identify,Identify,,drill-type name,
trope.drill.type_melody,Melody,,drill-type name,
trope.drill.types_summary,Question types: {types} — change these in ⚙ Settings. Personal best streak: {n} 🔥,,drill start subtitle,leading-emoji trailing; do-not-translate {types}/{n}
trope.footer.cantillation_credit,"Cantillation audio © Russel Neiss & Rabbi Charlie Schwartz, PocketTorah · CC BY-SA 4.0",,footer data-source credit,html
trope.footer.faq_a1,"A free interactive tutor for the Torah cantillation marks. Learn mode teaches each mark's symbol, names, and melody with real chanted examples; Drill mode quizzes you three ways with per-mark mastery tracking.",,FAQ answer,
trope.footer.faq_a2,"The recordings are PocketTorah's, chanted in a widely-taught Ashkenazi melody. Both Ashkenazi and Sephardi trope names are shown, and you can switch the primary naming tradition in settings.",,FAQ answer,
trope.footer.faq_a3,Cantillation marks printed above and below the words of the Hebrew Bible. Each mark names a melodic phrase and marks the grammar of the verse — together they tell you how to chant it.,,FAQ answer,
trope.footer.faq_a4,"Each session asks 10 questions of three kinds: name the trope on a marked word, pick the symbol for a melody you hear, or pick the melody that matches a symbol. Marks you miss come up more often, and distractors get sneakier (pashta vs. kadma) as your mastery grows.",,FAQ answer,
trope.footer.faq_a5,"Every example is a real word from the Torah reading, clipped from PocketTorah's recordings (Russel Neiss & Rabbi Charlie Schwartz, CC BY-SA 4.0) using their word-level timings. The Hebrew text comes from Sefaria.",,FAQ answer,
trope.footer.faq_a6,"Yes. Materials that incorporate PocketTorah audio are CC BY-SA 4.0; other IvritSuite content is CC BY-NC-SA 4.0. No account, no ads.",,FAQ answer,
trope.footer.faq_q1,What is the Trope Tutor?,,FAQ question,
trope.footer.faq_q2,What melody tradition is this?,,FAQ question,
trope.footer.faq_q3,What are trope (te'amim)?,,FAQ question,
trope.footer.faq_q4,How does Drill mode work?,,FAQ question,
trope.footer.faq_q5,Where do the chanted examples come from?,,FAQ question,
trope.footer.faq_q6,Is the Trope Tutor free?,,FAQ question,
trope.footer.faq_summary,Frequently Asked Questions,,footer accordion summary,
trope.footer.materials_note,Materials incorporating PocketTorah audio (including this page's example clips) are CC BY-SA 4.0.,,footer note,
trope.footer.sefaria_credit,Hebrew text via Sefaria · public domain (extracted at build time — this page never calls Sefaria),,footer data-source credit,html
trope.glyphname.darga.ashk,Darga,,trope name (both traditions),glyph-name
trope.glyphname.etnachta.ashk,Etnachta,,trope name (Ashkenazi),glyph-name
trope.glyphname.etnachta.seph,Atnach,,trope name (Sephardi),glyph-name
trope.glyphname.family_geresh,Geresh group,,family chip + mastery label,glyph-name; scope-ambiguous
trope.glyphname.family_katon,Zakef Katon clause,,family chip + mastery label,glyph-name; scope-ambiguous
trope.glyphname.family_rare,Rare marks,,family chip + mastery label,glyph-name; scope-ambiguous
trope.glyphname.family_revia,Revia group,,family chip + mastery label,glyph-name; scope-ambiguous
trope.glyphname.family_segol,Segol clause,,family chip + mastery label,glyph-name; scope-ambiguous
trope.glyphname.family_sofpasuk,Sof Pasuk clause,,family chip + mastery label,glyph-name; scope-ambiguous
trope.glyphname.geresh.ashk,Geresh,,trope name (both traditions),glyph-name
trope.glyphname.geresh_muqdam.ashk,Geresh Muqdam,,trope name (both traditions),glyph-name
trope.glyphname.gershayim.ashk,Gershayim,,trope name (Ashkenazi),glyph-name
trope.glyphname.gershayim.seph,Shenei Gerishin,,trope name (Sephardi),glyph-name
trope.glyphname.kadma.ashk,Kadma,,trope name (Ashkenazi),glyph-name
trope.glyphname.kadma.seph,Azla,,trope name (Sephardi),glyph-name
trope.glyphname.karnei_parah.ashk,Karnei Parah,,trope name (Ashkenazi),glyph-name
trope.glyphname.karnei_parah.seph,Karnei Farah,,trope name (Sephardi),glyph-name
trope.glyphname.mahpach.ashk,Mahpach,,trope name (Ashkenazi),glyph-name
trope.glyphname.mahpach.seph,Shofar Mehupach,,trope name (Sephardi),glyph-name
trope.glyphname.mercha.ashk,Mercha,,trope name (Ashkenazi),glyph-name
trope.glyphname.mercha.seph,Ma'arich,,trope name (Sephardi),glyph-name
trope.glyphname.mercha_kefula.ashk,Mercha Kefula,,trope name (Ashkenazi),glyph-name
trope.glyphname.mercha_kefula.seph,Tere Ta'amei,,trope name (Sephardi),glyph-name
trope.glyphname.munach.ashk,Munach,,trope name (Ashkenazi),glyph-name
trope.glyphname.munach.seph,Shofar Holech,,trope name (Sephardi),glyph-name
trope.glyphname.pashta.ashk,Pashta,,trope name (Ashkenazi),glyph-name
trope.glyphname.pashta.seph,Kadma,,trope name (Sephardi),glyph-name
trope.glyphname.pazer.ashk,Pazer,,trope name (Ashkenazi),glyph-name
trope.glyphname.pazer.seph,Pazer Gadol,,trope name (Sephardi),glyph-name
trope.glyphname.revia.ashk,Revia,,trope name (both traditions),glyph-name
trope.glyphname.segol.ashk,Segol,,trope name (Ashkenazi),glyph-name
trope.glyphname.segol.seph,Segolta,,trope name (Sephardi),glyph-name
trope.glyphname.shalshelet.ashk,Shalshelet,,trope name (both traditions),glyph-name
trope.glyphname.sof_pasuk.ashk,Sof Pasuk (Siluk),,trope name (both traditions),glyph-name
trope.glyphname.telisha_gedola.ashk,Telisha Gedola,,trope name (Ashkenazi),glyph-name
trope.glyphname.telisha_gedola.seph,Tirtzah,,trope name (Sephardi),glyph-name
trope.glyphname.telisha_ketana.ashk,Telisha Ketana,,trope name (Ashkenazi),glyph-name
trope.glyphname.telisha_ketana.seph,Talsha,,trope name (Sephardi),glyph-name
trope.glyphname.tevir.ashk,Tevir,,trope name (both traditions),glyph-name
trope.glyphname.tipcha.ashk,Tipcha,,trope name (Ashkenazi),glyph-name
trope.glyphname.tipcha.seph,Tarcha,,trope name (Sephardi),glyph-name
trope.glyphname.yerach_ben_yomo.ashk,Yerach Ben Yomo,,trope name (Ashkenazi),glyph-name
trope.glyphname.yerach_ben_yomo.seph,Yareach Ben Yomo,,trope name (Sephardi),glyph-name
trope.glyphname.yetiv.ashk,Yetiv,,trope name (both traditions),glyph-name
trope.glyphname.zakef_gadol.ashk,Zakef Gadol,,trope name (both traditions),glyph-name
trope.glyphname.zakef_katon.ashk,Zakef Katon,,trope name (both traditions),glyph-name
trope.glyphname.zarka.ashk,Zarka,,trope name (both traditions),glyph-name
trope.header.home,Home,,header nav button,
trope.header.settings_title,Settings,,header gear title + aria,
trope.header.subtitle,"Learn the Torah cantillation marks — names, symbols, and melodies — with real chanted examples.",,header subtitle,
trope.header.title,Trope Tutor,,h1 header,
trope.header.tour_button,❓ Tour,,header button,leading-emoji
trope.header.tour_title,Take a quick tour,,header button title,
trope.learn.examples_unavailable,Examples unavailable (index not loaded).,,card empty state,
trope.learn.families_aria,Trope clause families,,family chip group aria,aria-label only
trope.learn.family_note_geresh,"Ornamental short phrases: kadma-v'azla (geresh), double gershayim, the telisha twins at the word's edges, and the whirling pazer.",,family teaching note (Learn),pedagogical prose; scope-ambiguous
trope.learn.family_note_katon,The workhorse mid-verse clause: mahpach and pashta climb toward zakef katon's little pause. Pashta looks exactly like kadma — only its position at the end of the word gives it away.,,family teaching note (Learn),pedagogical prose; scope-ambiguous
trope.learn.family_note_rare,"Once-in-a-Torah specialties — mercha kefula, karnei parah, and yerach ben yomo. Karnei parah and yerach ben yomo each appear exactly once, back to back, in Numbers 35:5.",,family teaching note (Learn),pedagogical prose; scope-ambiguous
trope.learn.family_note_revia,"Gentler pauses: revia hovers above the word like a single gem, while darga and tevir often pair up in a distinctive stair-step figure.",,family teaching note (Learn),pedagogical prose; scope-ambiguous
trope.learn.family_note_segol,"A grand early pause in long verses: zarka swings up and hands off to segol. Shalshelet — a rare, dramatic chain of notes — stands in for it at the very start of a verse.",,family teaching note (Learn),pedagogical prose; scope-ambiguous
trope.learn.family_note_sofpasuk,Home base: the backbone of every verse. Mercha and tipcha lead into etnachta — the deep mid-verse resting point — and the same team walks the second half down to the final sof pasuk cadence.,,family teaching note (Learn),pedagogical prose; scope-ambiguous
trope.learn.intro,"Trope (te'amim) are the cantillation marks that tell you how to chant the Torah. Work through them one clause family at a time, then switch to Drill to test yourself. When you're ready to see them in context, open the companion reader: Torah Trainer →",,learn intro prose,html
trope.learn.name_ashkenazi_prefix,Ashkenazi: {name},,secondary-name label on card,do-not-translate {name} (a glyph-name)
trope.learn.name_sephardi_prefix,Sephardi: {name},,secondary-name label on card,do-not-translate {name} (a glyph-name)
trope.learn.next_family,Next family →,,button,
trope.learn.no_example,No chanted example in this corpus.,,card empty state,
trope.learn.play_example_aria,Play {name} example from {parsha} {ref},,example play button aria,aria-label only; do-not-translate {parsha}/{ref}
trope.learn.rare_tag,Rare,,card tag,
trope.learn.ready_drill,Ready? Try a drill →,,button (on last family),
trope.learn.see_in_parsha,See it in the parsha →,,card link,
trope.learn.see_in_parsha_title,Open the Torah Trainer reader with trope color coding,,card link title,
trope.learn.trope_note_etnachta,The deepest pause inside a verse — the wishbone under the word splits the verse in two.,,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_geresh_muqdam,"A variant geresh printed earlier in the word; some printed editions use it, but this corpus has no occurrences — so there's no clip to play.",,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_kadma,"Sits on the stressed syllable, usually leading straight into a geresh (""kadma v'azla""). Same shape as pashta, which instead hangs off the word's end.",,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_karnei_parah,"""Cow horns"" — the single rarest mark; one appearance in the Torah (Numbers 35:5).",,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_mahpach,"A rising horseshoe below the stressed syllable, almost always followed by pashta.",,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_mercha_kefula,A doubled mercha — appears only a handful of times in the whole Torah.,,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_pashta,Postpositive — printed at the very end of the word even when the stress falls earlier (it's doubled on the stress in that case). Same shape as kadma; position tells them apart.,,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_segol,Postpositive — the three-dot cluster rides off the end of the word.,,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_shalshelet,"A long, dramatic chain of notes — always on a verse's first word, always followed by a vertical paseq line.",,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_sof_pasuk,"The verse-ending cadence. Its siluk mark shares a codepoint with the meteg stress line, so learn it by position: the last word of every verse, followed by the ׃ mark.",,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_telisha_gedola,Prepositive — the small circle leads the word from the front.,,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_telisha_ketana,Postpositive — the small circle sits at the end of the word.,,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_yerach_ben_yomo,"""Moon one day old"" — appears once in the Torah, right before karnei parah's word (Numbers 35:5).",,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_yetiv,"Prepositive — printed at the very start of the word, below the first letter. Same shape as mahpach, different position and role.",,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_zakef_gadol,Zakef katon's louder sibling — a vertical bar joins the two dots when the word stands alone in its clause.,,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.trope_note_zarka,Postpositive — curls off the end of the word and always throws ahead to a segol.,,per-trope teaching note (Learn card),pedagogical prose; scope-ambiguous
trope.learn.visited_aria,visited,,family chip visited badge aria,aria-label only
trope.progress.reset_button,↺ Reset mastery & personal best,,button,leading-emoji
trope.progress.summary,{n} of {total} tropes attempted · personal best streak {pb} 🔥,,progress summary,do-not-translate {n}/{total}/{pb}
trope.settings.aria,Trope Tutor settings,,settings drawer aria,aria-label only
trope.settings.close_aria,Close settings,,close button aria,aria-label only
trope.settings.font_default_tag,[DEFAULT],,font picker default marker,
trope.settings.font_section_cursive,Cursive / Script,,font picker section header,
trope.settings.font_section_fallback,{section} Fonts,,font picker section header (fallback),do-not-translate {section}
trope.settings.font_section_my,My Fonts,,font picker section header,
trope.settings.font_section_print,Print Fonts,,font picker section header,
trope.settings.font_section_torah,Torah Fonts,,font picker section header,
trope.settings.heb_size,Hebrew size,,slider label,
trope.settings.panel_about,About,,panel title,
trope.settings.panel_drill,Drill,,panel title,
trope.settings.panel_font,Hebrew Font,,panel title,
trope.settings.panel_names,Names & Tradition,,panel title,
trope.settings.panel_progress,Progress,,panel title,
trope.settings.reset_size_aria,Reset Hebrew size,,reset button aria,aria-label only
trope.settings.reset_size_title,Reset size,,reset button title,
trope.settings.title,⚙ Settings,,settings drawer header,leading-emoji
trope.status.index_unavailable,Example clips unavailable (couldn’t load the trope index) — Learn mode still shows every mark.,,status,
trope.status.loading_audio,Loading audio…,,status,
trope.status.loading_index,Loading the trope index…,,status,
trope.status.tap_to_hear,Tap ▶ to hear the melody.,,status,
trope.tabs.aria,Tutor mode,,tablist aria,aria-label only
trope.tabs.drill,🎯 Drill,,mode tab,leading-emoji
trope.tabs.learn,📖 Learn,,mode tab,leading-emoji
trope.tip.more_info,More information,,tooltip fallback aria,aria-label only
trope.toast.audio_new_question,Audio for that trope wouldn’t load — new question.,,toast,
trope.toast.audio_unavailable,Audio unavailable right now — check your connection.,,toast,
trope.toast.audio_unreachable_skipped,Audio isn’t reachable — this question was skipped.,,toast,
trope.toast.clip_switched,That clip wouldn’t load — switched to another example.,,toast,
trope.toast.clip_trying_another,That clip wouldn’t load — trying another example.,,toast,
trope.toast.clip_wont_load,That clip wouldn’t load.,,toast,
trope.tour.s1_body,Learn walks the marks family by family; Drill quizzes you on them.,,tour step body,
trope.tour.s1_title,Two modes,,tour step title,
trope.tour.s2_body,The marks come in six melodic families — the same color families as the Torah Trainer reader.,,tour step body,
trope.tour.s2_title,Clause families,,tour step title,
trope.tour.s3_body,"Symbol, both naming traditions, a teaching note, and real chanted example words. Press ▶ to hear one.",,tour step body,
trope.tour.s3_title,One card per mark,,tour step title,
trope.tour.s4_body,"Step through all six families, then test yourself.",,tour step body,
trope.tour.s4_title,Work through them,,tour step title,
trope.tour.s5_body,"10 questions per session: name the marked word, match melody to symbol, or symbol to melody.",,tour step body,
trope.tour.s5_title,Drill mode,,tour step title,
trope.tour.s6_body,"Naming tradition, Hebrew font, question types, and playback speed live here.",,tour step body,
trope.tour.s6_title,Settings,,tour step title,
trope.tradition.ashkenazi,Ashkenazi,,radio label,
trope.tradition.note,The recordings themselves follow PocketTorah's Ashkenazi melody either way.,,settings note,
trope.tradition.primary_aria,Primary trope names,,radiogroup aria,aria-label only
trope.tradition.primary_label,Primary trope names,,settings label,
