Hebrew (Nikkud),Transliteration,Part of Speech,Translation,Era,Notes
קִיּוֹסְק,kiósk,noun,kiosk (enclosed structure),,
קִיּוּם,kiyúm,noun,existence; subsistence,,
קִיּוּם,kiyúm,noun,"fulfillment (of a promise, plan, etc.); observance (of traditions, laws, etc.)",,
קִיא,ki,root,vomited,Biblical,
קִיבֵּעַ,kibéa',verb,"to splint, to set (a wounded leg or arm)",,
קִיבֵּעַ,kibéa',verb,"to stabilise, to reinforce",,
קִיבּוּצְנִיק,kibútsnik,noun,"kibbutznik, member of a kibbutz",,
קִיוִי,kívi,noun,kiwi (a flightless bird of the order Apterygiformes native to New Zealand),,
קִיוִי,kívi,noun,kiwi fruit,,
קִיטְשִׁי,kít'shi,adjective,kitschy (having the nature of kitsch),,
קִיטְשׁ,kítsh,noun,kitsch,,
קִיטֵּב,kitév,verb,to polarize,,
קִיטוֹ,kito,proper noun,Quito (the capital city of Ecuador),,
קִיטוֹר,kitór,noun,"steam, smoke, vapour",Biblical,
קִילוֹמֶטֶר,kilométer,noun,A kilometre: a unit of length or distance equaling one thousand metres.,,
קִימוֹנוֹ,kimóno,noun,kimono (traditional Japanese clothing),,
קִין,kin,root,lamented / sang a dirge,Biblical,pilpel
קִינְשָׁסָה,kinshasa,proper noun,"Kinshasa (the capital and largest city of the Democratic Republic of the Congo (formerly Zaire), in the western part of the country on the Congo River)",,
קִינוֹאָה,kinóa,noun,quinoa (a goosefoot (Chenopodium quinoa) native to the Andes and cultivated for its edible seeds),,
קִינוֹאָה,kinóa,noun,"quinoa (the high-protein dried fruits and seeds of this plant, used as a food staple and ground into flour)",,
קִיץ,kitz,root,awoke / summered,Biblical,hollow root
קִיצוֹן,kitsón,adjective,extremal,,
קִיצוֹנִי,kitsoní,adjective,"Extreme: far, intense, abnormal.",,
קִיקָיוֹן,kikayón,noun,"castor bean, castor oil plant (Ricinus communis)",Both,
קִיקָיוֹן,kikayón,noun,kikayon,Biblical,
קִיר,kír,noun,wall,,
קִירְגִּיזְסְטָן,kirgizistan,proper noun,"Kyrgyzstan (a country in Central Asia, bordering on Kazakhstan, Uzbekistan, Tajikistan and China)",,
קִירִיבָּטִי,kiribáti,proper noun,"Kiribati (a country consisting mostly of the Gilbert Islands archipelago, located in Micronesia in Oceania).",,
קִישְׁקֶע,kíshke,noun,kishke: a traditional Ashkenazic dish made of stuffed beef intestine,,
קִלְקֵל,kilkél,verb,"to damage, to spoil, to ruin",,
קִלְקוּל,kilkúl,noun,spoiling: act of causing something to be spoiled,,
קִלֵּל,kilél,verb,"to curse, to cuss, to damn",,
קִלֵּף,kiléf,verb,"to peel, to pare",,
קִלּוּחַ,kiluákh,noun,shower,,
קִמְפֵּל,kimpél,verb,to compile,,
קִמְרוֹן,kimrón,noun,vault,,
קִנְאָה,kin'á,noun,"Envy, jealousy, covetousness.",,
קִנְטֵר,qin'tér,verb,"to annoy, to vex, to tease",,
קִנְרָס,kinrás,noun,artichoke,,
קִנֵּא,kiné,verb,to be jealous,Biblical,
קִנֵּא,kiné,verb,to be zealous or fervent for someone or something,Biblical,
קִנֵּא,kiné,verb,to envy,Biblical,
קִנֵּחַ,kinéaḥ,verb,to eat dessert,,
קִנֵּחַ,kinéaḥ,verb,to wipe dry,,
קִנֵּן,kinén,verb,to nest,,
קִנָּמוֹן,kinamón,noun,cinnamon (spice),Biblical,
קִנָּמוֹן,kinamón,noun,cinnamon (tree),,
קִנּוּחַ,kinúakh,noun,dessert,,
קִעְקֵעַ,,verb,"to destroy, to ruin",,
קִעְקֵעַ,,verb,to tattoo,,
קִעְקֵעַ,,verb,to undermine,,
קִעֵר,ki'ér,verb,"to hollow, to render concave",,
קִפֵּד,kipéd,verb,to cut off,Biblical,rare
קִפֵּד,kipéd,verb,"to roll up, to gather together",Biblical,
קִפֵּל,kipél,verb,To fold (something); to fold (something) up.,,
קִפֵּץ,kipéts,verb,to spring,,
קִפָּאוֹן,kipa'ón,noun,deadlock,,
קִפָּאוֹן,kipa'ón,noun,freezing (the process whereby a liquid becomes a solid at a temperature below its freezing point),,
קִפָּאוֹן,kipa'ón,noun,"freezing cold, extreme cold",,
קִפָּאוֹן,kipa'ón,noun,"stagnation, deadlock (a situation with no change or progress)",,
קִפּוֹד,qippṓḏ,noun,hedgehog,Biblical,
קִפּוֹד,qippṓḏ,noun,"short-eared owl (a species of owl, Asio flammeus)",Biblical,
קִצֵּץ,kitséts,verb,"to cut apart or off, amputate, trim",Biblical,
קִצֵּץ,kitséts,verb,"to lower, reduce",Modern,
קִצֵּר,kitsér,verb,"To shorten (something), to make (something) shorter.",,
קִצּוּץ,kitsúts,noun,"a cutting, a chopping, a pruning",,
קִצּוּץ,kitsúts,noun,"a reduction, a cutback",,
קִצּוּץ,kitsúts,noun,"a trimming, a lopping",,
קִצּוּר,kitsúr,noun,abbreviation,,
קִצּוּר,kitsúr,noun,"shortening, making shorter",,
קִצּוּר,kitsúr,noun,summary,,
קִצּוּר־דֶּרֶךְ,kitsúr-dérekh,noun,A shortcut.,,
קִרְיַת אַרְבַּע,kiryát arbá,proper noun,"Kiryat Arba, an Israeli Settlement in the West Bank on the outskirts of Hebron",,
קִרְיַת גַּת,kiryat gat,proper noun,Kiryat Gat (a city in Israel),,
קִרְיַת טאָהש,,proper noun,"Kiryas Tosh (a neighbourhood of Boisbriand, Quebec, Canada)",,
קִרְיַת שְׁמוֹנָה,kiryat shmona,proper noun,Kiryat Shmona (a city in Israel),,
קִרְיָה,kiryá,noun,"city, town",,
קִרְיָה,kiryá,noun,complex (collection of buildings),,
קִרְקָס,kirkás,noun,circus,,
קִריַת־אוּנְסְדּוֹרְף,kiryát unsdórf,proper noun,"Kiryat Unsdorf (a neighbourhood of Jerusalem, Israel)",,
קִשְׁקוּשׁ,kishkush,noun,nonsense,,
קִשְׁקוּשׁ,kishkush,noun,scribble,,
קִשֵּׁט,kishét,verb,to decorate,,
קִשֵּׁר,kishér,verb,"To connect, tie.",,
קִשּׁוּא,kishú,noun,zucchini,,
קִשּׁוּט,kishút,noun,decoration,,
קִשּׁוּט,kishút,noun,ornament,,
קִשּׁוּר,kishúr,noun,"hyperlink, weblink, link",,
קִשּׁוּר,kishúr,noun,"link, connection",,
קֵבָה,kevá,noun,stomach (an organ in animals that stores food in the process of digestion),,
קֵדָר,kedár,proper noun,"Kedar, a son of Ishmael; also (collectively) Ishmaelite and Bedouin (as his descendants or representatives): - Kedar.",,
קֵהֶה,kehé,adjective,"blunt, dull",,
קֵינָן,keynán,proper noun,"Kenan (a descendant of Seth, son of Enos)",,
קֵיסַם שִׁנַּיִם,keisám shináyim,noun,toothpick,,
קֵיסָם,keisám,noun,toothpick,,
קֵיסָר,kesár,noun,"Kaiser, a title of German emperors",,
קֵיסָר,kesár,noun,"an epithet applied to Roman emperors, Caesar",,
קֵיסָר,kesár,noun,emperor,,
קֵיצִי,keitsí,adjective,"aestival, related to summer",,
קֵל,kél,proper noun,"G-d: A deliberate misspelling and/or mispronunciation of of אֵל ('él, “God”)",,
קֵן,ken,noun,nest,Both,
קֵן,ken,noun,nest (bird-built structure),,
קֵס,qés,noun,any rabbi of Beta Israel origin,,colloquial
קֵס,qés,noun,kahen,,
קֵץ,kéts,noun,"An end, a finish.",Biblical,
קֵץ,ketz,noun,end / limit,Both,
קֵרֵחַ,keréakh,adjective,bald,Biblical,
קֵרֵר,kerér,verb,"to cool, to refrigerate",,
קֶבֶר,kéver,noun,"grave, gravesite",,
קֶבַע,kéva',noun,career service,,
קֶבַע,kéva',noun,"permanence, regularity, permanent",,
קֶדֶם,kédem,noun,ancient times,Biblical,
קֶדֶם,kédem,noun,"east (the direction of the earth's rotation, specifically 90°)",Biblical,
קֶדֶם,kedem,noun,east / ancient times,Biblical,
קֶדֶם,kédem,noun,front,Biblical,
קֶטְשׁוֹפּ,két'shop,noun,tomato ketchup,,
קֶטֶל,kétel,noun,killing,,
קֶטַע,kéta,noun,"excerpt, extract, section, portion, piece",,
קֶטַע,kéta,noun,thing,,
קֶלִי,qéli,proper noun,"a surname, Kelly",,
קֶלִי,qéli,proper noun,"a unisex given name, Kelly",,
קֶלֶט,kélet,noun,input,,
קֶלֶס,keles,noun,"derision, ridicule",,
קֶלַע,kéla,noun,scene,,
קֶלַע,kéla,noun,slingshot,,
קֶמְפִּינְג,kémping,noun,Camping.,,
קֶמֶט,kémet,noun,"crease, fold",,
קֶמַח,kémakh,noun,"flour (powder obtained by grinding or milling cereal grains, especially wheat, or other foodstuffs such as soybeans and potatoes, and used to bake bread, cakes, and pastry)",,
קֶנְגּוּרוּ,kénguru,noun,"kangaroo (a member of the Macropodidae family of large marsupials with strong hind legs for hopping, native to Australia)",,
קֶנְזַס,kénzas,proper noun,Kansas (a state of the midwest United States),,
קֶנְיָה,kenya,proper noun,Kenya (a country in East Africa),,
קֶסֶם,késem,noun,"a spell, enchantment, magic",Biblical,
קֶסֶם,késem,noun,"an illusion, sleight of hand",Biblical,
קֶסֶם,kesem,noun,magic / charm,Both,
קֶסֶם,késem,noun,soothsaying,Biblical,archaic
קֶסֶם,késem,noun,sorcery,Biblical,
קֶסֶת,késet,noun,"inkstand, inkwell",Biblical,
קֶצֶב,kétsev,noun,"tempo, rhythm, rate, pace",,
קֶצֶף,ketzef,noun,anger / wrath / foam,Both,
קֶצֶף,kétsef,noun,foam,,
קֶצַח,kétsakh,noun,"black cumin, Nigella sativa",Biblical,
קֶרֶב,kerev,noun,midst / interior / inward parts,Both,
קֶרֶן,kéren,noun,"capital, fund (money dedicated to a purpose)",,
קֶרֶן,kéren,noun,corner (exterior),,
קֶרֶן,kéren,noun,"fund, foundation, principal (company or organisation dedicated to a purpose)",,
קֶרֶן,kéren,noun,"horn (a hard growth of keratin that protrudes from the top of the head of certain animals, usually paired)",,
קֶרֶן,keren,noun,horn / ray / fund,Both,
קֶרֶן,kéren,noun,"horn, bugle (Any of several musical wind instruments.)",,
קֶרֶן,kéren,noun,keratin,,
קֶרֶן,kéren,noun,"ray, beam (beam of light or radiation)",,
קֶרֶן,kéren,noun,the base price paid as compensation without the added penalty,,
קֶרֶן,keren,proper noun,"a female given name, Karen",,
קֶרֶן רְחוֹב,kéren rechóv,noun,street corner,,
קֶרֶס,kéres,noun,"hook, fishhook, clasp",,
קֶרֶשׁ,qéresh,noun,"board, plank",,
קֶרֶשׁ גִּהוּץ,kéresh gihúts,noun,ironing board,,
קֶרֶשׁ חִתּוּךְ,keresh khitúkh,noun,"chopping board, cutting board",,
קֶרֶת,qeret,noun,"city, town, settlement",,
קֶרַח,kérakh,noun,ice,,
קֶרַח,kerach,noun,ice / frost,Both,
קֶשֶׁב,keshév,noun,attentiveness,,
קֶשֶׁר,kesher,noun,connection / knot / conspiracy,Both,
קֶשֶׁר,késher,noun,conspiracy,Biblical,
קֶשֶׁר,késher,noun,"contact, connection",Biblical,
קֶשֶׁר,késher,noun,"knot, nautical mile",Biblical,
קֶשֶׁר,késher,noun,"link, relationship",Biblical,
קֶשֶׁר עַיִן,késher 'áyin,noun,eye contact,,
קֶשֶׁת,késhet,noun,arc,,
קֶשֶׁת,késhet,noun,arch,,
קֶשֶׁת,késhet,noun,"bow (a rod with horsehair (or an artificial substitute) stretched between the ends, used for playing various stringed musical instruments)",,
קֶשֶׁת,késhet,noun,"bow (a weapon made of a curved piece of wood or other flexible material whose ends are connected by a string, used for shooting arrows)",,
קֶשֶׁת,keshet,noun,bow / rainbow / arc,Both,
קֶשֶׁת,késhet,noun,edge (a connected pair of vertices in a graph),,
קֶשֶׁת,késhet,noun,electric arc,,
קֶשֶׁת,késhet,noun,headband,,
קֶשֶׁת,késhet,noun,rainbow,Biblical,
קֶשֶׁת אֲרֻכָּה,késhet aruká,noun,longbow,,
קֶשֶׁת בְּ עָנָן,késhet be'anán,noun,rainbow (multicoloured arch in the sky),,
קַאדִיָאן,qādiyān,proper noun,"Qadian (a town and municipal council in Gurdaspur district, Punjab, India, the founding place of the Ahmadiyya community)",,
קַב,kav,noun,a dry measure,Biblical,2 Kgs 6:25
קַבְּלָן,kablan,noun,contractor (a person or company that performs specific tasks like electrical or plumbing work in construction projects),,
קַבְּצָן,kabtzan,noun,beggar,,
קַבִּינֵט,kábinet,noun,A cabinet: a group of advisors to a government or business entity.,,
קַבִּינֵט,kábinet,noun,A cabinet: a group of officials who create government policy and oversee the executive branch.,,
קַבָּל,kabál,noun,a capacitor,,
קַבָּלִי,kabalí,adjective,kabbalistic,,
קַבָּלַת שַׁבָּת,kabalát shabát,noun,"Kabbalat Shabbat, a collection of psalms, hymns, and blessings collectively known as Kabbalat Shabbat, sung at the beginning of Shabbat",,
קַבָּלָה,kabalá,noun,receipt (being received),,
קַבָּלָה,kabalá,noun,receipt (written acknowledgement of a transfer of money or goods),,
קַבָּלָה,kabalá,noun,reception (desk or area of an office or hotel where guests are received),,
קַבָּלָה,kabalá,noun,"reception, acceptance (reaction)",,
קַבָּלָה,kabalá,noun,resolution (statement of intent),,
קַבָּלָה,kabalá,proper noun,Kabbalah (a body of mystical Jewish teachings based on an esoteric reading of the Hebrew scriptures),,Judaism
קַבָּלָה,kabalá,proper noun,certification that one has studied sufficiently to serve as a shochet,,Judaism
קַבָּלָה,kabalá,proper noun,oral tradition,,Judaism
קַדְּשֵׁנוּ,kad'shénu,verb,"second-person masculine singular imperative with first-person plural direct object, defective spelling style of קידש (kidésh): sanctify m sg us!",,archaic
קַדְמִיּוּם,kadmium,noun,"cadmium (a chemical element (symbol Cd) with an atomic number of 48: a soft, silvery-white metal)",,
קַדְמוֹן,kadmón,adjective,"ancient, archaic, primal, primeval, primordial, aboriginal",,
קַדְמוֹן,kadmón,adjective,eastern,,archaic
קַדְמוֹן,kadmón,adjective,primitive,,
קַדְמוֹן,kadmón,noun,ancestor,,
קַדְמוֹן,kadmón,noun,ancient,,
קַדְמוֹנִי,qaḏmōnî,adjective,Kadmonite,,
קַדְמוֹנִי,qaḏmōnî,adjective,"earlier, former",,
קַדְמוֹנִי,qaḏmōnî,adjective,"eastern, east",,
קַדְמוֹנִי,qaḏmōnî,adjective,old,,
קַדִּישׁ,kadish,noun,kaddish,,Judaism
קַדַּחַת,kadákhat,noun,fever,Biblical,
קַהְוָה,kahvá,noun,coffee,,
קַו,kav,noun,bus line,,
קַו,kav,noun,line,Biblical,
קַו,kav,noun,line / cord / measuring line,Both,
קַו הַמַּשְׁוֶה,kav hamashvé,proper noun,Equator (Earth’s equator),,
קַו רָקִיעַ,káv-rakía,noun,A skyline: the horizon created by a city's overall structure.,,
קַו רֹחַב,káv rókhav,noun,parallel (a line of latitude),,
קַח וָ לֵךְ,kakh valékh,noun,takeout,,
קַטְלָנִי,katlaní,adjective,"Killer, awesome, cool.",,slang
קַטְלָנִי,katlaní,adjective,"Killer, deadly, fatal.",,
קַטְנוֹעַ,katnóa,noun,"motor scooter, moped",,
קַטָּר,katár,noun,A locomotive (The power unit of a train),,
קַיְטָנָה,kaitaná,noun,summer camp,,
קַיִן,káyin,proper noun,"A collective term for the Kenites, a biblical ethnic group.",,
קַיִן,káyin,proper noun,Cain (the son of Adam and Eve who killed his brother Abel),Biblical,
קַיִץ,kayitz,noun,summer,Both,
קַיָּם,kayám,adjective,enduring,,
קַיָּם,kayám,adjective,existing,,
קַל,kal,adjective,easy (not difficult),,
קַל,kal,adjective,light (of low importance),,
קַל,kal,adjective,light (of low weight),,
קַל,kal,adjective,light / easy / swift,Both,
קַל דַּעַת,kál dá'at,adjective,"flighty, irresponsible, hasty",,
קַל וָחֹמֶר,kál vachómer,adjective,Relating to an a fortiori argument.,,
קַל וָחֹמֶר,kál vachómer,adverb,"all the more so, a fortiori",,
קַל וָחֹמֶר,kál vachómer,noun,An a fortiori argument.,,
קַל רַגְלַיִם,kal ragláyim,adjective,fleetfooted,,
קַלְמָר,kalmár,noun,"pencil box, pencil case",,
קַלּוֹת,kalót,adverb,"softly, quietly (of speech)",,
קַלּוּת,kalút,noun,ease,,
קַלּוּת,kalút,noun,"softness, lightness",,
קַמְבְּרִיָה,kámbriya,proper noun,Wales (a constituent country of the United Kingdom),,poetic; rare
קַמְבּוֹדְיָה,kambódya,proper noun,"Cambodia (a country in Southeast Asia), officially מַמְלֶכֶת־קַמְבּוֹדְיָה (mamlékhet-kambódya, “the Kingdom of Cambodia”), formerly קַמְפּוּצִ׳יאָה (kampuchí'a, “Kampuchea”).",,
קַמְפֵּיְן,kampéin,noun,"A campaign: a marketing campaign, ad campaign, political campaign, or similar.",,
קַמְפָּלָה,kampala,proper noun,"Kampala (the capital of, and largest city in, Uganda)",,
קַמְפּוּס,kampus,noun,"A campus, a college or university campus.",,
קַמְצָן,kamtsán,noun,miser; cheapskate; stingy person,,
קַמֶרוּן,Kamerún,proper noun,Cameroon (a country in Central Africa),,
קַנְבֶּרָה,kanbera,proper noun,Canberra (the capital city of Australia; located in the Australian Capital Territory),,
קַנְטִינָה,kantína,noun,canteen (small cafeteria or snack bar),,
קַנְיוֹן,kanyón,noun,canyon,,
קַנְיוֹן,kanyón,noun,shopping mall,,
קַנְקַן,kankán,noun,"pitcher, jug",,
קַנַּאי,kanáy,adjective,jealous,,
קַנַּאי,kanáy,adjective,"zealot, fanatical",,
קַנָּא,kaná,adjective,"jealous, zealous (epithet for God)",,
קַנָּאוּת,kana'út,noun,"extremism, fanaticism",,
קַסְדָּה,kasdá,noun,"helmet (a hard, protective head covering, typically part of armour)",,
קַעֲקַע,ka'aká,noun,tattoo,Biblical,
קַעֲרִית,ka'arít,noun,small bowl,,
קַעֲרַת פֶּסַח,ka'arát pésakh,noun,Seder plate,,
קַפְרִיסִין,kafrisín,proper noun,"Cyprus (an island and country in the Mediterranean Sea, normally considered politically part of Europe but geographically part of West Asia)",,
קַפְרִיסָאִי,kafrisa'i,adjective,Cypriot,,
קַפּוּצִ׳ינוֹ,kapuchino,noun,cappuccino,,
קַצֶּפֶת,katséfet,noun,"icing, frosting",,
קַצֶּפֶת,katséfet,noun,whipped cream,,
קַצֶּרֶת,qatseret,noun,asthma,,
קַצָּב,katsáv,noun,butcher,,
קַקְטוּס,káktus,noun,cactus,,
קַר,kar,adjective,cold,Both,
קַרְדִּיגָן,kárdigan,noun,cardigan,,
קַרְחִי,karkhi,adjective,icy,,
קַרְחוֹן,karkhón,noun,glacier,,
קַרְחוֹן,karkhón,noun,iceberg,,
קַרְחוֹן יַמִּי,karkhón yamí,noun,iceberg (huge mass of floating ice),,
קַרְטֶל,kartél,noun,cartel (group of businesses or nations that collude to fix prices),,
קַרְטוֹן,kartón,noun,"cardboard, carton",,
קַרְיָן,karyán,noun,newscaster,,
קַרְיוֹקִי,karyóki,noun,"karaoke (a form of entertainment popular in clubs, at parties, etc, in which individual members of the public sing along to pre-recorded instrumental versions of popular songs, the lyrics of which are displayed for the singer on a screen in time with the music)",,
קַרְנִית,karnít,noun,cornea,,
קַרְנַף,karnáf,noun,"rhinoceros (any large herbivorous ungulate mammal native to Africa and Asia of the family Rhinocerotidae, with thick, gray skin and one or two horns on their snouts)",,
קַרְסֹל,karsól,noun,ankle,,
קַרְפָּד,karpád,noun,toad (male),,
קַרְפָּדָה,karpadá,noun,"toad, especially a female toad",,
קַרְקֶפֶת,karkéfet,noun,scalp,,
קַרְקַע,karká,noun,"earth, soil",,
קַרְקַע,karká,noun,"floor, bed",,
קַרְקַע,karká,noun,"ground, land",,
קַשְׁקֶשֶׁת,kashkéshet,noun,"chatter, gibberish",,colloquial
קַשְׁתִּית,kashtít,noun,iris,,
קַשְׂקֶשֶׂת,kaskéset,noun,scales (of fish or of a coat of mail),Biblical,
קַשִּׁית,kashít,noun,drinking straw,,
קַשָּׁב,káshav,noun,a monitor (person who monitors communications),,
קַשָּׁר,kashár,noun,connector,,
קַשָּׁר,kashár,noun,midfielder,,
קַשָּׁר,kashár,noun,"signaller, signal operator",,
קַשָּׁת,kashát,noun,archer; soldier whose main weapon is the bow and arrow,Biblical,
קַשָּׁת,kashát,proper noun,Sagittarius (a constellation of the zodiac traditionally figured as a centaur drawing a bow),,
קַשָּׁת,kashát,proper noun,"Sagittarius (the zodiac sign for the archer, ruled by Jupiter and covering November 23 - December 21 (tropical astrology) or December 16 - January 14 (sidereal astrology))",,
קַשׁ,kash,noun,straw,,
קַת,kát,noun,"haft, handle",,
קָבַב,kavav,root,cursed,Biblical,rare
קָבַל,kaval,root,received / accepted,Both,pi'el common
קָבַע,kava,root,fixed / set / determined,Both,
קָבַע,kavá',verb,to decide,,
קָבַע,kavá',verb,"to declare, to announce, to assert",,
קָבַע,kavá',verb,to determine,,
קָבַע,kavá',verb,to fix firmly,,
קָבַע,kavá',verb,to make (an appointment),,
קָבַץ,kavatz,root,gathered / assembled,Biblical,pi'el
קָבַץ,kaváts,verb,"to gather, to collect,",,
קָבַץ,kaváts,verb,to group,,
קָבַר,kavar,root,buried,Biblical,
קָבַר,kavár,verb,"to bury, to inter",,
קָבּוּל,kabul,proper noun,Kabul (the capital and largest city of Afghanistan),,
קָבוּעַ,kavúa',adjective,"fixed, permanent",,
קָבוּעַ,kavúa',adverb,regularly,,
קָדִימָה,kadíma,adverb,eastward,Biblical,
קָדִימָה,kadíma,adverb,"forward, onward",Biblical,
קָדִימָה,kadíma,adverb,"in front, in the front, ahead",Biblical,
קָדִימָה,kadíma,interjection,"Forward!, Onward!, Let's go!",,
קָדֵשׁ,kadesh,noun,a male pagan prostitute,,
קָדַד,kadad,root,bowed / knelt,Biblical,
קָדַח,kadach,root,kindled / drilled / had fever,Biblical,
קָדַח,kadákh,verb,"to burn, have high temperature due to fever.",,
קָדַח,kadákh,verb,to drill,,
קָדַם,kadam,root,went before / was ancient,Biblical,pi'el: anticipated
קָדַם,kadám,verb,"to precede, to come before",,
קָדַשׁ,kadash,root,was holy / consecrated,Biblical,
קָדוֹשׁ,kadósh,adjective,holy,,
קָדוֹשׁ,kadósh,noun,A saint.,,
קָדוּם,kadúm,adjective,"ancient, old, antique, immemorial, former, primitive",,
קָהִיר,kahír,proper noun,"Cairo (a governorate of Egypt, containing the capital city)",,
קָהִיר,kahír,proper noun,Cairo (the capital city of Egypt),,
קָהָה,kahah,root,was blunt / dull,Biblical,
קָהָה,kahá,verb,"to be blunted, become dull",,
קָהָל,kahál,noun,assembly,Biblical,
קָהָל,kahál,noun,audience,Biblical,
קָהָל,kahál,noun,clientele,Biblical,
קָהָל,kahál,noun,"public, community",Biblical,
קָוָה,kavah,root,waited / hoped,Biblical,pi'el: hoped
קָזַבְּלַנְקָה,kazablánka,proper noun,"Casablanca (the capital city of the region of Casablanca-Settat, Morocco)",,
קָזַחְסְטָן,kazakhstán,proper noun,Kazakhstan (a country in Central Asia and Eastern Europe),,
קָט,kat,adjective,tiny,,
קָטִין,katín,noun,"A (male) minor, a (male) legal minor: a (male) person below the age of majority.",,
קָטֵגוֹר,qategór,noun,prosecutor,,
קָטֵגוֹרְיָה,kategórya,noun,category (group),,
קָטֵגוֹרְיָה,kategórya,noun,persecution,,
קָטַל,katal,root,killed / slew,Biblical,
קָטַל,katál,verb,"to kill, slay",Biblical,poetic
קָטַל,katál,verb,"to verbally disparage, put down, humiliate",Both,slang
קָטַן,katan,root,was small / insignificant,Biblical,
קָטַנְצִ׳יק,katánchik,noun,"small child, little boy.",,colloquial
קָטַסְטְרוֹפָה,katastrófa,noun,A catastrophe: a major disaster.,,
קָטַע,katá,verb,to cut off,,
קָטַף,kataf,root,plucked / picked (fruit),Both,
קָטַף,katáf,verb,"to pick; to pluck (flowers, fruit, etc.)",,
קָטַר,katar,root,burned incense,Biblical,hif'il/pi'el
קָטָבּוֹלִיזְם,katabolízm,noun,catabolism (notion in chemistry),,
קָטָלָאנִית,katalánit,proper noun,"Catalan (the Romance language of Catalonia, an autonomous region in the northeast of Spain, also spoken in the Valencian autonomous region (where the language is officially named valencià), the Balearic Islands, Andorra, Roussillon in France, and the Sardinian city of Alghero)",,
קָטָלוֹג,katalóg,noun,"catalog, catalogue",,
קָטָלוּנְיָה,katalún'ya,proper noun,Catalonia (an autonomous community in northeast Spain),,
קָטָמוֹן,katamón,proper noun,"Katamon (a neighbourhood of Jerusalem, Israel)",,
קָטָן,katán,adjective,"Little, insignificant, unimportant.",,
קָטָן,katán,adjective,"Little, small, diminutive.",,
קָטָן,katán,adjective,"Little, young.",,
קָטָן,katan,adjective,small / little,Both,
קָטָר,Qatar,proper noun,Qatar (a country in West Asia in the Middle East),,
קָטֹן,katón,verb,to be or become small,,
קָטֹן,katón,verb,to be unworthy,Biblical,
קָלִי,qalí,noun,parched grain,Biblical,
קָלִי,qalí,noun,toast (bread that has been toasted (cooked lightly by browning)),,
קָלִיגְרָפְיָה,kaligráfya,noun,Calligraphy: the art of decorative writing.,,
קָלִיל,kalíl,adjective,very easy,,
קָלִיל,kalíl,adjective,very light,,
קָלִיפוֹרְנְיָה,kalifórnya,proper noun,California (the most populous state of the United States),,
קָלַח,kalákh,verb,to flow,,
קָלַט,kalát,verb,to be aware of the intentions of,,
קָלַט,kalát,verb,to comprehend,,
קָלַט,kalát,verb,to know,,
קָלַט,kalát,verb,"to realize, to become aware of something",,
קָלַט,kalát,verb,to record audio or video,,
קָלַל,kalal,root,was light / swift / cursed,Biblical,pi'el: cursed
קָלַל,kalál,verb,"to be of little importance or worth, to be despised",Biblical,
קָלַל,kalál,verb,"to be quick, swift",Biblical,
קָלַל,kalál,verb,"to decrease, diminish",Biblical,
קָלַס,kalas,root,mocked / scoffed,Biblical,
קָלַע,kalá,verb,to braid,,
קָלַף,kaláf,verb,"to peel, skin, pare",,
קָלָה,kalah,root,roasted / parched / was dishonored,Biblical,
קָלָה,qalá,verb,to toast,,
קָם,qɔm,noun,foe,,
קָם,kam,verb,arose / stood up,Biblical,
קָם,qɔm,verb,"to attack, initiate an attack",Biblical,
קָם,qɔm,verb,"to be accounted as, to take the place of",Biblical,
קָם,qɔm,verb,"to be valid, fulfilled",Biblical,
קָם,qɔm,verb,to become in charge,Biblical,
קָם,qɔm,verb,to remain valid,Biblical,
קָם,qɔm,verb,"to rise, stand up",Biblical,
קָם,qɔm,verb,"to testify as a witness, to accuse",Biblical,
קָמִין,kamin,noun,"hearth, crucible",,
קָמַץ,kamáts,verb,clench,,
קָמָץ,kamáts,noun,"kamatz (a Hebrew nikud vowel sign, shaped like a small uppercase T, which is written beneath a letter to indicate an /a/ sound (or, in Ashkenazi pronunciation, an /o/ sound)) (ִ◌ָ)",,
קָנִיבָּל,kanibál,noun,a cannibal,,
קָנֶה,kané,noun,a barrel: the metallic tube of a gun,,
קָנֶה,kané,noun,a branch of a candelabrum,Biblical,
קָנֶה,kané,noun,a cane: a long hollow stick,,
קָנֶה,kané,noun,"a rod, six cubits",Biblical,
קָנֶה,kané,noun,"a stem, a cane, a stalk",Biblical,
קָנֶה,kané,noun,"a trachea, a windpipe",,
קָנֶה,kané,noun,reed,Biblical,
קָנַבּוֹס,kanábos,noun,cannabis (hemp or marijuana),,
קָנַח,kanach,root,wiped (clean),Modern,pi'el
קָנָא,kana,root,was jealous / zealous,Biblical,pi'el
קָנָדָה,kánada,proper noun,Canada (a country in North America),,
קָנָה,kanah,root,acquired / bought / created,Both,
קָנָה,kaná,verb,"to accept as true, to believe",,colloquial
קָנָה,kaná,verb,"to be appointed to a position, assigned a certain work",,
קָנָה,kaná,verb,"to buy, to purchase",Biblical,
קָנָה,kaná,verb,"to get, to appoint, to obtain, to acquire, to assign",,
קָנָה,kaná,verb,"to possess, to captivate",Biblical,
קָנֹם,kanóm,adjective,cinnamon-colored,Modern,rare
קָנוּ,kanu,noun,canoe,,
קָסַם,kasam,root,practiced divination,Biblical,
קָסָאם,kasám,noun,Qassam (rocket),,
קָסוּם,kasúm,adjective,delightful,,
